year,month,Article_Sentiment
2013,11,1.0
2014,2,1.0
2014,3,1.0
2015,3,1.0
2015,5,1.0
2016,1,1.0
2016,5,1.0
2016,9,1.0
2017,5,-1.0
2017,6,1.0
2017,7,1.0
2017,8,1.0
2017,9,1.0
2017,11,1.0
2017,12,0.3333333333333333
2018,1,0.5555555555555556
2018,2,0.42857142857142855
2018,3,0.5
2018,4,0.0
2018,5,0.6363636363636364
2018,6,0.4444444444444444
2018,7,0.3333333333333333
2018,8,0.6
2018,9,0.6363636363636364
2018,10,1.0
2018,11,-0.3333333333333333
2018,12,0.5
2019,1,0.6666666666666666
2019,2,0.5
2019,3,-0.3333333333333333
2019,4,0.6666666666666666
2019,5,0.0
2019,6,0.8461538461538461
2019,7,0.6
2019,8,0.5
2019,9,0.0
2019,10,0.5714285714285714
2019,11,0.6
2019,12,0.2
2020,1,-1.0
2020,2,0.5
2020,3,1.0
2020,4,-1.0
